Timestamp,Fav genre,Age group
8/28/2022 22:05:53,Pop,Jóvenes adultos
8/28/2022 22:09:11,Pop,Adultos
8/28/2022 22:10:24,Pop,Jóvenes
8/28/2022 22:14:01,Metal,Adultos
8/28/2022 22:14:30,Rock,Adultos
8/28/2022 22:21:12,Rock,Niños
8/28/2022 22:30:17,Rock,Jóvenes adultos
8/28/2022 22:38:36,Rock,Adultos
8/28/2022 22:39:58,Metal,Adultos
8/28/2022 22:51:01,Pop,Adultos
8/28/2022 22:51:30,Metal,Jóvenes adultos
8/28/2022 23:04:08,Rock,Jóvenes
8/28/2022 23:23:20,Rock,Adultos
8/28/2022 23:23:41,Pop,Adultos
8/28/2022 23:34:19,Metal,Jóvenes
8/28/2022 23:54:34,Rock,Niños
8/29/2022 0:05:09,Metal,Jóvenes adultos
8/29/2022 0:05:36,Pop,Jóvenes
8/29/2022 0:32:36,Rock,Adultos
8/29/2022 0:33:06,Metal,Jóvenes
8/29/2022 0:47:12,Pop,Jóvenes adultos
8/29/2022 0:50:03,Pop,Jóvenes adultos
8/29/2022 0:54:55,Pop,Jóvenes
8/29/2022 0:59:01,Rock,Jóvenes
8/29/2022 1:17:44,Metal,Jóvenes adultos
8/29/2022 1:26:19,Rock,Jóvenes
8/29/2022 2:03:07,Metal,Jóvenes adultos
8/29/2022 2:10:36,Rock,Jóvenes adultos
8/29/2022 2:22:37,Rock,Jóvenes adultos
8/29/2022 2:28:45,Rock,Jóvenes adultos
8/29/2022 2:29:08,Pop,Jóvenes adultos
8/29/2022 2:30:08,Rock,Jóvenes
8/29/2022 2:30:45,Pop,Jóvenes
8/29/2022 2:40:16,Rock,Jóvenes adultos
8/29/2022 2:43:40,Rock,Adultos
8/29/2022 2:46:27,Rock,Jóvenes adultos
8/29/2022 2:46:38,Pop,Jóvenes
8/29/2022 2:49:37,Metal,Jóvenes
8/29/2022 2:54:06,Rock,Jóvenes
8/29/2022 3:09:21,Metal,Niños
8/29/2022 3:13:27,Metal,Jóvenes
8/29/2022 3:14:38,Rock,Jóvenes
8/29/2022 3:17:19,Rock,Jóvenes
8/29/2022 3:29:44,Metal,Adultos
8/29/2022 3:32:43,Rock,Jóvenes adultos
8/29/2022 3:46:02,Metal,Jóvenes adultos
8/29/2022 3:47:32,Rock,Jóvenes adultos
8/29/2022 3:49:29,Pop,Adultos
8/29/2022 4:02:01,Pop,Jóvenes
8/29/2022 4:02:12,Pop,Jóvenes adultos
8/29/2022 4:10:25,Pop,Jóvenes adultos
8/29/2022 4:41:30,Rock,Adultos
8/29/2022 4:42:51,Rock,Adultos
8/29/2022 4:53:44,Rock,Jóvenes
8/29/2022 4:57:35,Rock,Jóvenes adultos
8/29/2022 5:06:50,Rock,Jóvenes
8/29/2022 5:08:52,Metal,Jóvenes adultos
8/29/2022 5:14:53,Rock,Niños
8/29/2022 5:22:38,Rock,Adultos
8/29/2022 5:35:40,Rock,Jóvenes adultos
8/29/2022 5:37:56,Pop,Jóvenes
8/29/2022 5:41:25,Pop,Adultos
8/29/2022 5:45:03,Pop,Jóvenes adultos
8/29/2022 5:50:21,Pop,Jóvenes
8/29/2022 6:00:25,Pop,Jóvenes adultos
8/29/2022 6:31:56,Rock,Niños
8/29/2022 7:17:09,Rock,Adultos
8/29/2022 7:48:34,Rock,Adultos
8/29/2022 7:53:58,Rock,Jóvenes adultos
8/29/2022 8:39:19,Pop,Jóvenes adultos
8/29/2022 9:01:49,Rock,Jóvenes adultos
8/29/2022 9:26:07,Rock,Adultos
8/29/2022 9:47:26,Rock,Jóvenes
8/29/2022 10:23:22,Pop,Jóvenes
8/29/2022 10:45:36,Metal,Jóvenes adultos
8/29/2022 11:04:24,Metal,Jóvenes
8/29/2022 11:16:34,Metal,Jóvenes
8/29/2022 11:41:34,Metal,Jóvenes adultos
8/29/2022 12:30:01,Rock,Jóvenes adultos
8/29/2022 12:32:30,Rock,Jóvenes
8/29/2022 13:09:33,Pop,Adultos
8/29/2022 14:25:08,Pop,Niños
8/29/2022 14:49:56,Metal,Jóvenes adultos
8/29/2022 15:18:16,Rock,Jóvenes
8/29/2022 15:20:35,Metal,Jóvenes
8/29/2022 16:05:19,Rock,Jóvenes
8/29/2022 16:07:39,Rock,Adultos
8/29/2022 16:39:08,Rock,Adultos
8/29/2022 17:04:16,Pop,Niños
8/29/2022 17:22:01,Metal,Jóvenes adultos
8/29/2022 17:32:02,Rock,Jóvenes
8/29/2022 17:36:01,Pop,Jóvenes adultos
8/29/2022 18:13:51,Pop,Niños
8/29/2022 18:22:58,Metal,Adultos
8/29/2022 18:47:22,Pop,Jóvenes
8/29/2022 20:22:33,Pop,Jóvenes
8/29/2022 20:47:47,Rock,Adultos
8/29/2022 21:21:30,Rock,Jóvenes adultos
8/29/2022 22:04:50,Rock,Jóvenes adultos
8/29/2022 22:52:14,Pop,Jóvenes
8/30/2022 0:14:35,Rock,Adultos
8/30/2022 11:12:36,Metal,Adultos
8/30/2022 14:43:14,Metal,Jóvenes
8/30/2022 16:43:28,Rock,Jóvenes
8/30/2022 17:43:36,Rock,Adultos
8/31/2022 1:39:16,Pop,Jóvenes
8/31/2022 20:40:05,Rock,Jóvenes
8/31/2022 21:04:07,Rock,Jóvenes
